Subscription,SubscriptionEndDate,SKU,Product,RatePlan,ChargeNumber,LocationID,MarketCode,CategoryCode
A-S00206246,2020-12-13,SKU-00000092,Storefront,Storefront | AK-Alaska | Reception Venues,C-01525490,7837E458-1EC8-4F43-B814-D2502ECC5918,228,REC
A-S00206247,2020-12-13,SKU-00000034,Featured Vendor,Featured Vendor | SC-South Carolina | Wedding Planners,C-01538576,EF14478F-7790-4948-9049-B3961AB80E90,188,PLN
A-S00206247,2020-12-13,SKU-00000092,Storefront,Storefront | SC-South Carolina | Wedding Planners,C-01538575,EF14478F-7790-4948-9049-B3961AB80E90,188,PLN
A-S00206248,2020-12-13,SKU-00000034,Featured Vendor,Featured Vendor | NJ-South | Wedding Planners,C-01525495,C02934DF-FC0E-45D1-AAA0-9E7CED83623A,209,PLN
A-S00206248,2020-12-13,SKU-00000092,Storefront,Storefront | NJ-South | Wedding Planners,C-01525494,C02934DF-FC0E-45D1-AAA0-9E7CED83623A,209,PLN
A-S00206254,2020-12-13,SKU-00000034,Featured Vendor,Featured Vendor | FL-Central | DJs,C-01525520,DD6C22B3-E767-478F-9CD1-BDBEFFAC4DF6,053,DJS
A-S00206254,2020-12-13,SKU-00000092,Storefront,Storefront | FL-Central | DJs,C-01525519,DD6C22B3-E767-478F-9CD1-BDBEFFAC4DF6,053,DJS
A-S00206266,2020-12-13,SKU-00000092,Storefront,Storefront | NC-North Carolina | Florists,C-01525552,5F01B94D-4557-419D-9701-921F426CBAEB,107,FLO
A-S00206276,2020-12-13,SKU-00000034,Featured Vendor,Featured Vendor | OR-Oregon | Reception Venues,C-01525588,F1710958-F09A-44B2-B4FE-52CA8C231C61,176,REC
A-S00206276,2020-12-13,SKU-00000092,Storefront,Storefront | OR-Oregon | Reception Venues,C-01525587,F1710958-F09A-44B2-B4FE-52CA8C231C61,176,REC
A-S00206282,2020-12-13,SKU-00000092,Storefront,Storefront | IN-Indiana | DJs,C-01525600,99DF961D-6141-4800-8FE7-864DF672DF71,198,DJS
A-S00206297,2020-12-12,SKU-00000034,Featured Vendor,Featured Vendor | CA-San Diego | Wedding Photographers,C-01525646,418A9B12-09E5-4A78-891E-C0F58242E04E,050,WPH
A-S00206297,2020-12-12,SKU-00000092,Storefront,Storefront | CA-San Diego | Wedding Photographers,C-01525645,418A9B12-09E5-4A78-891E-C0F58242E04E,050,WPH
A-S00206301,2020-12-13,SKU-00000034,Featured Vendor,Featured Vendor | CA-Los Angeles | Wedding Planners,C-01525652,6FFF785D-B177-4AD7-BAE6-AEBDC4DED86C,084,PLN
A-S00206301,2020-12-13,SKU-00000092,Storefront,Storefront | CA-Los Angeles | Wedding Planners,C-01525651,6FFF785D-B177-4AD7-BAE6-AEBDC4DED86C,084,PLN
A-S00206312,2020-12-13,SKU-00000034,Featured Vendor,Featured Vendor | NY-Long Island | Photo Booths,C-01525681,D05AB6DB-E52D-4C9C-9E35-0A249A3EFFBF,182,PHB
A-S00206312,2020-12-13,SKU-00000034,Featured Vendor,Featured Vendor | NY-Manhattan | Photo Booths,C-01525683,D05AB6DB-E52D-4C9C-9E35-0A249A3EFFBF,091,PHB
A-S00206312,2020-12-13,SKU-00000092,Storefront,Storefront | NY-Long Island | Photo Booths,C-01525679,D05AB6DB-E52D-4C9C-9E35-0A249A3EFFBF,182,PHB
A-S00206312,2020-12-13,SKU-00000092,Storefront,Storefront | NY-Manhattan | Photo Booths,C-01525682,D05AB6DB-E52D-4C9C-9E35-0A249A3EFFBF,091,PHB
A-S00206315,2020-12-27,SKU-00000034,Featured Vendor,Featured Vendor | TX-San Antonio | Wedding Photographers,C-01525689,13F3DB13-0705-4ADE-AF20-C30776B2ECF9,180,WPH
A-S00206315,2020-12-27,SKU-00000092,Storefront,Storefront | TX-San Antonio | Wedding Photographers,C-01525688,13F3DB13-0705-4ADE-AF20-C30776B2ECF9,180,WPH
A-S00206330,2020-12-13,SKU-00000092,Storefront,Storefront | NJ-North/Central | Wedding Bands,C-01525730,20754C0C-7CEB-4965-AC1C-C87D9E81AE21,073,BDS
A-S00206334,2020-12-13,SKU-00000034,Featured Vendor,Featured Vendor | TX-West Texas | Wedding Photographers,C-01525738,BAC35649-24EE-4AFC-8718-DEA821736122,268,WPH
A-S00206334,2020-12-13,SKU-00000092,Storefront,Storefront | TX-West Texas | Wedding Photographers,C-01525737,BAC35649-24EE-4AFC-8718-DEA821736122,268,WPH
